"Species","ASA-2011","ASA-2013","BMA-2011","BMA-2013","CKE-2011","CLO-2011","COL-2011","ERE-2011","ERE-2013","ERO-2011","ERO-2013","ICO-2013","ISJE-2013","ISJP-2013","ISME-2011","ISME-2013","ISMP-2013","ITSE-2013","ITSP-2011","ITSP-2013","PCH-2011","RET-2011","RET-2013","SMI-2011","SMI-2013","SSI-2011","SSI-2013","STO-2011","VTR-2011"
"Sebastes auriculatus","0.17 $\pm$ 0.41","0.33 $\pm$ 0.52","","0.17 $\pm$ 0.41","0.78 $\pm$ 1.39","1.00 $\pm$ 1.22","","","0.50 $\pm$ 1.22","0.50 $\pm$ 0.84","0.40 $\pm$ 0.89","","0.33 $\pm$ 0.52","","","","","0.33 $\pm$ 0.52","","","0.67 $\pm$ 1.15","","0.17 $\pm$ 0.41","1.33 $\pm$ 0.82","0.50 $\pm$ 0.55","0.50 $\pm$ 0.84","0.83 $\pm$ 1.60","","1.00 $\pm$ 1.00"
"Sebastes carnatus","","0.50 $\pm$ 0.55","","0.17 $\pm$ 0.41","","0.60 $\pm$ 0.89","","","","","","","","","","","0.50 $\pm$ 1.22","0.50 $\pm$ 0.84","0.50 $\pm$ 0.84","","","","0.50 $\pm$ 0.84","0.17 $\pm$ 0.41","0.50 $\pm$ 0.55","0.67 $\pm$ 0.82","0.17 $\pm$ 0.41","0.50 $\pm$ 0.84",""
"Sebastes caurinus","0.50 $\pm$ 1.22","","0.83 $\pm$ 1.33","0.17 $\pm$ 0.41","","0.60 $\pm$ 0.89","","","0.17 $\pm$ 0.41","0.83 $\pm$ 0.75","","0.20 $\pm$ 0.45","","","0.33 $\pm$ 0.82","","0.17 $\pm$ 0.41","0.67 $\pm$ 0.52","","","0.33 $\pm$ 0.58","0.33 $\pm$ 0.52","0.17 $\pm$ 0.41","","0.17 $\pm$ 0.41","0.67 $\pm$ 0.82","0.17 $\pm$ 0.41","0.83 $\pm$ 0.98","0.33 $\pm$ 0.58"
"Sebastes chrysomelas","","","","","","0.20 $\pm$ 0.45","","","","0.83 $\pm$ 1.60","","","","","","","","","","","","0.17 $\pm$ 0.41","0.33 $\pm$ 0.52","","","","0.17 $\pm$ 0.41","",""
"Sebastes dallii","","","","","","","","","","","","","","","","0.17 $\pm$ 0.41","","","","","","","","","","","0.33 $\pm$ 0.82","",""
"Sebastes hopkinsi","","","","","","","","","","","","0.60 $\pm$ 1.34","","","","","","","","","","","","","","","","",""
"Sebastes miniatus","","","","","","","","","","","","","","","","","","","","","","0.17 $\pm$ 0.41","","0.17 $\pm$ 0.41","","","","",""
"Sebastes mystinus","","","","","","","","","","","","","","","","","","1.17 $\pm$ 1.47","","","","","0.17 $\pm$ 0.41","","","","0.33 $\pm$ 0.52","0.33 $\pm$ 0.82",""
"Sebastes nebulosus","","","","","","","","","","","","","","","","","","","","","","0.17 $\pm$ 0.41","","","","","","",""
"Sebastes pinniger","","","","","","","","","","","0.20 $\pm$ 0.45","","","","","","","","","","","0.17 $\pm$ 0.41","","","","","","",""
"Sebastes rastrelliger","","","1.33 $\pm$ 1.97","","","","","","","","","","","","","","","","","","","","","0.50 $\pm$ 1.22","","","","",""
"Sebastes serranoides","","","0.83 $\pm$ 1.33","2.50 $\pm$ 3.39","","0.40 $\pm$ 0.55","","","","","0.20 $\pm$ 0.45","","","","","0.17 $\pm$ 0.41","0.67 $\pm$ 0.82","0.17 $\pm$ 0.41","","","","","1.67 $\pm$ 0.82","0.33 $\pm$ 0.52","0.33 $\pm$ 0.52","4.50 $\pm$ 7.53","0.33 $\pm$ 0.82","0.17 $\pm$ 0.41",""
"Sebastes serriceps","","","0.17 $\pm$ 0.41","","","0.20 $\pm$ 0.45","","","","","","","","","","","0.33 $\pm$ 0.52","1.17 $\pm$ 1.17","","","","0.17 $\pm$ 0.41","","0.50 $\pm$ 1.22","","0.50 $\pm$ 0.55","0.17 $\pm$ 0.41","",""
"Sebastes spp","","","","","0.33 $\pm$ 0.71","","","","","0.67 $\pm$ 1.63","","","","","0.17 $\pm$ 0.41","","","","0.33 $\pm$ 0.82","","","","","","","","","0.33 $\pm$ 0.52",""
"Semicossyphus pulcher","7.17 $\pm$ 5.04","5.00 $\pm$ 5.62","9.83 $\pm$ 4.83","4.00 $\pm$ 2.61","2.00 $\pm$ 2.45","3.80 $\pm$ 2.77","","","0.17 $\pm$ 0.41","3.50 $\pm$ 2.43","1.60 $\pm$ 2.07","4.20 $\pm$ 3.70","4.00 $\pm$ 2.97","8.50 $\pm$ 12.42","10.67 $\pm$ 3.98","10.33 $\pm$ 2.73","8.17 $\pm$ 6.55","6.00 $\pm$ 4.10","13.67 $\pm$ 5.82","5.33 $\pm$ 3.67","","1.33 $\pm$ 1.03","1.50 $\pm$ 1.22","2.00 $\pm$ 2.00","2.83 $\pm$ 0.75","8.17 $\pm$ 5.78","7.17 $\pm$ 2.56","3.17 $\pm$ 2.79",""
"Seriola lalandi","","","","","","","","","","","","","","","","","","","","","","","","","0.50 $\pm$ 1.22","","","",""
"Squatina californica","","","","","","","","","","","","","","","0.33 $\pm$ 0.82","","","","","","","","","","","","","",""
"Torpedo californica","","","","","","","","","","","","","","","","","","","0.17 $\pm$ 0.41","","","","","","","","","",""
"Urobatis halleri","","","","","","0.20 $\pm$ 0.45","","","","","","","","","","","","","","","","","","","","","","",""
"Zapteryx exasperata","","0.33 $\pm$ 0.52","","","","","","","","","","","","","","0.33 $\pm$ 0.52","","","","","","","","","","","","",""
