id,location,site,zone,level,latitude,longitude,transect,kelp_density,genus_species,total_length,abundance,a_tl2tw,b_tl2tw,nt,lm,lmax,record,year,class,order,family,genus,kelp_abundance,body_shape,demers_pelag,price_categ,usedas_bait,aquarium,importance,comments
2013-ASA-N-Bottom-2,ASA,N,NA,Bottom,29.731835,-115.76808,2,2.316666666,Chromis punctipinnis,10,6,NA,NA,2.7,NA,NA,21,2013,Actinopteri,Ovalentaria/misc,Pomacentridae,Chromis,138.9999999,fusiform / normal,reef-associated,unknown,never/rarely,NA,minor commercial,"Adults occur near bottom over or near rocks, especially over steep banks, and also in kelp beds.  Young school in open ocean.  They retire to rocky holes at night (Ref. 7247).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Good eating."
2013-ASA-N-Bottom-2,ASA,N,NA,Bottom,29.731835,-115.76808,2,2.316666666,Embiotoca jacksoni,20,3,NA,NA,3.3,NA,39,22,2013,Actinopteri,Ovalentaria/misc,Embiotocidae,Embiotoca,138.9999999,short and / or deep,demersal,unknown,NA,NA,NA,"Adults chiefly live in rocky areas near kelp, occasionally over sand bottom of coastal bays and around piers and pilings, and rarely in surf.  Occur from intertidal areas to 46 m depth, but usually at about 6.1 m.  Usually form small groups.  Viviparous, female carries the developing young (Ref. 205)."
2013-ASA-N-Bottom-2,ASA,N,NA,Bottom,29.731835,-115.76808,2,2.316666666,Embiotoca jacksoni,30,1,NA,NA,3.3,NA,39,23,2013,Actinopteri,Ovalentaria/misc,Embiotocidae,Embiotoca,138.9999999,short and / or deep,demersal,unknown,NA,NA,NA,"Adults chiefly live in rocky areas near kelp, occasionally over sand bottom of coastal bays and around piers and pilings, and rarely in surf.  Occur from intertidal areas to 46 m depth, but usually at about 6.1 m.  Usually form small groups.  Viviparous, female carries the developing young (Ref. 205)."
2013-ASA-N-Bottom-2,ASA,N,NA,Bottom,29.731835,-115.76808,2,2.316666666,Embiotoca lateralis,30,1,NA,NA,NA,NA,NA,24,2013,Actinopteri,Ovalentaria/misc,Embiotocidae,Embiotoca,138.9999999,short and / or deep,demersal,unknown,never/rarely,public aquariums,commercial,"Adults occur in rocky coasts and kelp beds, occasionally in sandy surf near rocks (Ref. 2850).  Feed on small crustaceans, worms, and mussels; occasionally on herring eggs (Ref. 4925).  Viviparous, female carries the developing young (Ref. 205)."
2013-ASA-N-Bottom-2,ASA,N,NA,Bottom,29.731835,-115.76808,2,2.316666666,Hypsypops rubicundus,25,3,0.020213841,3.0895,3.2,NA,NA,25,2013,Actinopteri,Ovalentaria/misc,Pomacentridae,Hypsypops,138.9999999,short and / or deep,reef-associated,unknown,never/rarely,never/rarely,NA,"Adults occur over rocky bottom in clear water, often near crevices and small caves, occasionally in kelp.  Adults defend a home territory.  Feed mainly on attached invertebrates.  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Have been reared in captivity (Ref. 35420)."
2013-ASA-N-Bottom-2,ASA,N,NA,Bottom,29.731835,-115.76808,2,2.316666666,Oxyjulis californica,15,1,NA,NA,3.1,NA,25,26,2013,Actinopteri,Eupercaria/misc,Labridae,Oxyjulis,138.9999999,elongated,demersal,very high,never/rarely,commercial,NA,"Live in kelp and other seaweeds and over rocks. Occurs in intertidal up to 97 m (Ref. 96339). Found usually at depths shallower than 23 m but also caught at depths up to 73 m.  Often form small groups, frequently well off bottom.  When disturbed often burrows in bottom sediment.  Sleep at night buried in sand with head protruding.  Feed on a variety of small invertebrates and also picks parasites from other fishes that come to be cleaned.  No sex reversal.  Pelagic spawner (Ref. 56049)."
2013-ASA-N-Bottom-2,ASA,N,NA,Bottom,29.731835,-115.76808,2,2.316666666,Paralabrax clathratus,20,2,0.00273,3.27,3.93,NA,72,27,2013,Actinopteri,Perciformes/Serranoidei,Serranidae,Paralabrax,138.9999999,fusiform / normal,benthopelagic,very high,NA,NA,commercial,"Usually found in or near kelp beds, shallow water and to about 50 m but mostly from 2.4-21m .  Found throughout water column.  Large specimens usually occur in deeper water.  Juveniles feed on benthic invertebrates (especially crustaceans); adults feed on fishes and cephalopods (Ref.9342).  Both juveniles and adults may feed on plankton when abundant (Ref.9342).  Pelagic spawners (Ref. 56049).  Also caught with troll lines (Ref. 9342).  Excellent food fish and an important game fish (Ref. 9342)."
2013-ASA-N-Bottom-2,ASA,N,NA,Bottom,29.731835,-115.76808,2,2.316666666,Rhinogobiops nicholsii,10,1,NA,NA,NA,NA,NA,28,2013,Actinopteri,Gobiiformes,Gobiidae,Rhinogobiops,138.9999999,fusiform / normal,demersal,very high,never/rarely,public aquariums,NA,Found usually in sandy areas near rocks.  Occurs from intertidal areas to 106 m depth.  Retreats to rocks or holes when approached.  Young are found usually offshore among plankton.  Oviparous (Ref. 56079).  A protogynous hermaphrodite (Ref. 34256).  Forms permanent harem groups composed of a single male  and several smaller females (Ref. 55367).  Eggs are guarded by the male (Ref. 56079).
2013-ASA-N-Bottom-2,ASA,N,NA,Bottom,29.731835,-115.76808,2,2.316666666,Sebastes atrovirens,20,1,NA,NA,NA,NA,NA,29,2013,Actinopteri,Perciformes/Scorpaenoidei,Sebastidae,Sebastes,138.9999999,fusiform / normal,demersal,medium,never/rarely,never/rarely,NA,"Usually found on or near bottom in kelp beds or rocky areas (Ref. 2850).  Viviparous, with planktonic larvae (Ref. 36715)."
2013-ASA-N-Bottom-2,ASA,N,NA,Bottom,29.731835,-115.76808,2,2.316666666,Sebastes atrovirens,25,1,NA,NA,NA,NA,NA,30,2013,Actinopteri,Perciformes/Scorpaenoidei,Sebastidae,Sebastes,138.9999999,fusiform / normal,demersal,medium,never/rarely,never/rarely,NA,"Usually found on or near bottom in kelp beds or rocky areas (Ref. 2850).  Viviparous, with planktonic larvae (Ref. 36715)."
2013-ASA-N-Bottom-2,ASA,N,NA,Bottom,29.731835,-115.76808,2,2.316666666,Sebastes carnatus,25,1,0.0269,3,NA,17,39,31,2013,Actinopteri,Perciformes/Scorpaenoidei,Sebastidae,Sebastes,138.9999999,fusiform / normal,demersal,medium,never/rarely,never/rarely,NA,"Inhabit holes or crevices in rocky areas (Ref. 2850).  Territorial (Ref. 2850).  Viviparous, with planktonic larvae (Ref. 36715)."
2013-ASA-N-Bottom-2,ASA,N,NA,Bottom,29.731835,-115.76808,2,2.316666666,Semicossyphus pulcher,20,3,0.0289,3,3.6,NA,91,32,2013,Actinopteri,Eupercaria/misc,Labridae,Semicossyphus,138.9999999,fusiform / normal,reef-associated,very high,never/rarely,commercial,commercial,"Prefer rocky bottom, particularly in kelp beds.  Often feed on hard-shelled organisms such as sea urchins, mollusks, lobsters and crabs.  Spawning occur during the summer and the eggs are pelagic (Ref. 9311).  Live to more than 50 years of age.  Each individual functions first as a female but changes to a male at a length of about 30 cm.  Pelagic spawners (Ref. 56049).  Flesh is white,  of good quality and marketed fresh (Ref. 9311).  The large teeth can cause serious bite wounds."
2013-ASA-N-Bottom-2,ASA,N,NA,Bottom,29.731835,-115.76808,2,2.316666666,Semicossyphus pulcher,25,1,0.0289,3,3.6,NA,91,33,2013,Actinopteri,Eupercaria/misc,Labridae,Semicossyphus,138.9999999,fusiform / normal,reef-associated,very high,never/rarely,commercial,commercial,"Prefer rocky bottom, particularly in kelp beds.  Often feed on hard-shelled organisms such as sea urchins, mollusks, lobsters and crabs.  Spawning occur during the summer and the eggs are pelagic (Ref. 9311).  Live to more than 50 years of age.  Each individual functions first as a female but changes to a male at a length of about 30 cm.  Pelagic spawners (Ref. 56049).  Flesh is white,  of good quality and marketed fresh (Ref. 9311).  The large teeth can cause serious bite wounds."
2013-ASA-N-Bottom-3,ASA,N,NA,Bottom,29.731835,-115.76808,3,0.4,Alloclinus holderi,15,1,NA,NA,NA,NA,NA,34,2013,Actinopteri,Blenniiformes,Labrisomidae,Alloclinus,24,elongated,demersal,unknown,never/rarely,never/rarely,NA,"Inhabits rocky areas, subtidal and to 49 m depth (Ref. 2850)."
2013-ASA-N-Bottom-3,ASA,N,NA,Bottom,29.731835,-115.76808,3,0.4,Chromis punctipinnis,10,7,NA,NA,2.7,NA,NA,35,2013,Actinopteri,Ovalentaria/misc,Pomacentridae,Chromis,24,fusiform / normal,reef-associated,unknown,never/rarely,NA,minor commercial,"Adults occur near bottom over or near rocks, especially over steep banks, and also in kelp beds.  Young school in open ocean.  They retire to rocky holes at night (Ref. 7247).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Good eating."
2013-ASA-N-Bottom-3,ASA,N,NA,Bottom,29.731835,-115.76808,3,0.4,Embiotoca jacksoni,20,6,NA,NA,3.3,NA,39,36,2013,Actinopteri,Ovalentaria/misc,Embiotocidae,Embiotoca,24,short and / or deep,demersal,unknown,NA,NA,NA,"Adults chiefly live in rocky areas near kelp, occasionally over sand bottom of coastal bays and around piers and pilings, and rarely in surf.  Occur from intertidal areas to 46 m depth, but usually at about 6.1 m.  Usually form small groups.  Viviparous, female carries the developing young (Ref. 205)."
2013-ASA-N-Bottom-3,ASA,N,NA,Bottom,29.731835,-115.76808,3,0.4,Embiotoca jacksoni,25,1,NA,NA,3.3,NA,39,37,2013,Actinopteri,Ovalentaria/misc,Embiotocidae,Embiotoca,24,short and / or deep,demersal,unknown,NA,NA,NA,"Adults chiefly live in rocky areas near kelp, occasionally over sand bottom of coastal bays and around piers and pilings, and rarely in surf.  Occur from intertidal areas to 46 m depth, but usually at about 6.1 m.  Usually form small groups.  Viviparous, female carries the developing young (Ref. 205)."
2013-ASA-N-Bottom-3,ASA,N,NA,Bottom,29.731835,-115.76808,3,0.4,Embiotoca lateralis,20,1,NA,NA,NA,NA,NA,38,2013,Actinopteri,Ovalentaria/misc,Embiotocidae,Embiotoca,24,short and / or deep,demersal,unknown,never/rarely,public aquariums,commercial,"Adults occur in rocky coasts and kelp beds, occasionally in sandy surf near rocks (Ref. 2850).  Feed on small crustaceans, worms, and mussels; occasionally on herring eggs (Ref. 4925).  Viviparous, female carries the developing young (Ref. 205)."
2013-ASA-N-Bottom-3,ASA,N,NA,Bottom,29.731835,-115.76808,3,0.4,Hypsypops rubicundus,20,1,0.020213841,3.0895,3.2,NA,NA,39,2013,Actinopteri,Ovalentaria/misc,Pomacentridae,Hypsypops,24,short and / or deep,reef-associated,unknown,never/rarely,never/rarely,NA,"Adults occur over rocky bottom in clear water, often near crevices and small caves, occasionally in kelp.  Adults defend a home territory.  Feed mainly on attached invertebrates.  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Have been reared in captivity (Ref. 35420)."
2013-ASA-N-Bottom-3,ASA,N,NA,Bottom,29.731835,-115.76808,3,0.4,Oxyjulis californica,5,82,NA,NA,3.1,NA,25,40,2013,Actinopteri,Eupercaria/misc,Labridae,Oxyjulis,24,elongated,demersal,very high,never/rarely,commercial,NA,"Live in kelp and other seaweeds and over rocks. Occurs in intertidal up to 97 m (Ref. 96339). Found usually at depths shallower than 23 m but also caught at depths up to 73 m.  Often form small groups, frequently well off bottom.  When disturbed often burrows in bottom sediment.  Sleep at night buried in sand with head protruding.  Feed on a variety of small invertebrates and also picks parasites from other fishes that come to be cleaned.  No sex reversal.  Pelagic spawner (Ref. 56049)."
2013-ASA-N-Bottom-3,ASA,N,NA,Bottom,29.731835,-115.76808,3,0.4,Oxyjulis californica,15,2,NA,NA,3.1,NA,25,41,2013,Actinopteri,Eupercaria/misc,Labridae,Oxyjulis,24,elongated,demersal,very high,never/rarely,commercial,NA,"Live in kelp and other seaweeds and over rocks. Occurs in intertidal up to 97 m (Ref. 96339). Found usually at depths shallower than 23 m but also caught at depths up to 73 m.  Often form small groups, frequently well off bottom.  When disturbed often burrows in bottom sediment.  Sleep at night buried in sand with head protruding.  Feed on a variety of small invertebrates and also picks parasites from other fishes that come to be cleaned.  No sex reversal.  Pelagic spawner (Ref. 56049)."
